房屋ID,州,电网类型,屋顶总容量(kW),容量系数,扩容可用容量(kW),方案A-PV(kW),方案A-面板数,方案A-逆变器(kW),方案A-容配比(%),方案A-储能(kWh),方案A-成本($),方案A-补贴($),方案A-最终报价($),方案B-PV(kW),方案B-面板数,方案B-逆变器(kW),方案B-容配比(%),方案B-储能(kWh),方案B-成本($),方案B-补贴($),方案B-最终报价($),方案C-PV(kW),方案C-面板数,方案C-逆变器(kW),方案C-容配比(%),方案C-储能(kWh),方案C-成本($),方案C-补贴($),方案C-最终报价($)
15,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
16,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
17,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
18,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
19,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
20,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
21,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
22,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
23,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
24,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
25,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
26,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
27,NSW,single,18.04,70.0%,12.63,18.04,41,10,180.4,27.06,39543.35,14625.00,24918.35,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
28,NSW,single,11.0,70.0%,7.70,11.00,25,8,137.5,20,28028.00,10062.00,17966.00,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
29,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
30,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
31,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
32,NSW,single,6.16,70.0%,4.31,6.16,14,5,123.2,13.5,18044.29,6357.00,11687.29,6.16,14,5,123.2,9.6,14333.44,5109.00,9224.44,6.16,14,5,123.2,6.5,11383.79,4095.00,7288.79
33,NSW,single,10.12,70.0%,7.08,10.12,23,6,168.7,16,23083.28,8424.00,14659.28,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
34,NSW,single,1.32,70.0%,0.92,1.32,3,5,26.4,13.5,15169.33,4758.00,10411.33,1.32,3,5,26.4,9.6,11458.48,3510.00,7948.48,1.32,3,5,26.4,6.5,8508.83,2496.00,6012.83
35,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
36,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
37,NSW,single,16.72,70.0%,11.70,16.72,38,10,167.2,25.08,36875.30,13533.00,23342.30,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
38,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
39,NSW,single,9.24,70.0%,6.47,9.24,21,6,154.0,16,22560.56,8151.00,14409.56,9.24,21,8,115.5,9.6,17086.96,6084.00,11002.96,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
40,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
41,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
42,NSW,single,11.88,70.0%,8.32,11.88,27,8,148.5,20,28550.72,10335.00,18215.72,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
43,NSW,single,30.36,70.0%,21.25,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
44,NSW,single,13.2,70.0%,9.24,13.20,30,8,165.0,20,29334.80,10764.00,18570.80,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
45,NSW,single,10.56,70.0%,7.39,10.56,24,6,176.0,16,23344.64,8580.00,14764.64,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
46,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
47,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
48,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
49,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
50,NSW,single,11.88,70.0%,8.32,11.88,27,8,148.5,20,28550.72,10335.00,18215.72,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
51,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
52,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
53,NSW,single,2.2,70.0%,1.54,2.20,5,5,44.0,13.5,15692.05,5070.00,10622.05,2.20,5,5,44.0,9.6,11981.20,3822.00,8159.20,2.20,5,5,44.0,6.5,9031.55,2808.00,6223.55
54,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
55,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
56,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
57,NSW,single,3.08,70.0%,2.16,3.08,7,5,61.6,13.5,16214.77,5343.00,10871.77,3.08,7,5,61.6,9.6,12503.92,4095.00,8408.92,3.08,7,5,61.6,6.5,9554.27,3081.00,6473.27
58,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
59,NSW,single,17.16,70.0%,12.01,17.16,39,10,171.6,25.740000000000002,37764.65,13923.00,23841.65,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
60,NSW,single,2.2,70.0%,1.54,2.20,5,5,44.0,13.5,15692.05,5070.00,10622.05,2.20,5,5,44.0,9.6,11981.20,3822.00,8159.20,2.20,5,5,44.0,6.5,9031.55,2808.00,6223.55
61,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
62,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
63,NSW,single,12.32,70.0%,8.62,12.32,28,8,154.0,20,28812.08,10491.00,18321.08,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
64,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
65,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
66,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
67,NSW,single,21.56,70.0%,15.09,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
68,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
69,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
70,NSW,single,24.64,70.0%,17.25,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
71,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
72,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
73,NSW,single,0.88,70.0%,0.62,0.88,2,5,17.6,13.5,14907.97,4641.00,10266.97,0.88,2,5,17.6,9.6,11197.12,3393.00,7804.12,0.88,2,5,17.6,6.5,8247.47,2379.00,5868.47
74,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
75,NSW,single,10.56,70.0%,7.39,10.56,24,6,176.0,16,23344.64,8580.00,14764.64,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
76,NSW,single,19.36,70.0%,13.55,19.36,44,10,193.6,29.04,42211.40,15717.00,26494.40,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
77,NSW,single,3.52,70.0%,2.46,3.52,8,5,70.4,13.5,16476.13,5499.00,10977.13,3.52,8,5,70.4,9.6,12765.28,4251.00,8514.28,3.52,8,5,70.4,6.5,9815.63,3237.00,6578.63
79,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
80,NSW,single,1.76,70.0%,1.23,1.76,4,5,35.2,13.5,15430.69,4914.00,10516.69,1.76,4,5,35.2,9.6,11719.84,3666.00,8053.84,1.76,4,5,35.2,6.5,8770.19,2652.00,6118.19
81,NSW,single,4.84,70.0%,3.39,4.84,11,5,96.8,13.5,17260.21,5928.00,11332.21,4.84,11,5,96.8,9.6,13549.36,4680.00,8869.36,4.84,11,5,96.8,6.5,10599.71,3666.00,6933.71
82,NSW,single,10.12,70.0%,7.08,10.12,23,6,168.7,16,23083.28,8424.00,14659.28,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
83,NSW,single,13.64,70.0%,9.55,13.64,31,8,170.5,20.46,30033.85,11076.00,18957.85,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
84,NSW,single,25.52,70.0%,17.86,19.80,45,10,198.0,29.700000000000003,43100.75,16068.00,27032.75,13.20,30,8,165.0,13.5,23150.05,8619.00,14531.05,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
85,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
86,NSW,single,6.6,70.0%,4.62,6.60,15,5,132.0,13.5,18305.65,6474.00,11831.65,6.60,15,5,132.0,9.6,14594.80,5226.00,9368.80,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
87,NSW,single,14.96,70.0%,10.47,14.96,34,10,149.6,22.44,33317.90,12129.00,21188.90,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
88,NSW,single,0.44,70.0%,0.31,0.44,1,5,8.8,13.5,14646.61,4485.00,10161.61,0.44,1,5,8.8,9.6,10935.76,3237.00,7698.76,0.44,1,5,8.8,6.5,7986.11,2223.00,5763.11
89,NSW,single,5.72,70.0%,4.00,5.72,13,5,114.4,13.5,17782.93,6201.00,11581.93,5.72,13,5,114.4,9.6,14072.08,4953.00,9119.08,5.72,13,5,114.4,6.5,11122.43,3939.00,7183.43
90,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
91,NSW,single,11.44,70.0%,8.01,11.44,26,8,143.0,20,28289.36,10179.00,18110.36,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
92,NSW,single,2.64,70.0%,1.85,2.64,6,5,52.8,13.5,15953.41,5187.00,10766.41,2.64,6,5,52.8,9.6,12242.56,3939.00,8303.56,2.64,6,5,52.8,6.5,9292.91,2925.00,6367.91
93,NSW,single,2.2,70.0%,1.54,2.20,5,5,44.0,13.5,15692.05,5070.00,10622.05,2.20,5,5,44.0,9.6,11981.20,3822.00,8159.20,2.20,5,5,44.0,6.5,9031.55,2808.00,6223.55
94,NSW,single,5.28,70.0%,3.70,5.28,12,5,105.6,13.5,17521.57,6045.00,11476.57,5.28,12,5,105.6,9.6,13810.72,4797.00,9013.72,5.28,12,5,105.6,6.5,10861.07,3783.00,7078.07
95,NSW,single,7.92,70.0%,5.54,7.92,18,5,158.4,13.5,19089.73,6903.00,12186.73,7.92,18,5,158.4,9.6,15378.88,5655.00,9723.88,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
96,NSW,single,8.8,70.0%,6.16,8.80,20,5,176.0,13.5,19612.45,7176.00,12436.45,8.80,20,5,176.0,9.6,15901.60,5928.00,9973.60,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
97,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
98,NSW,single,0.0,70.0%,0.00,0.00,0,5,0.0,13.5,14385.25,4368.00,10017.25,0.00,0,5,0.0,9.6,10674.40,3120.00,7554.40,0.00,0,5,0.0,6.5,7724.75,2106.00,5618.75
99,NSW,single,9.68,70.0%,6.78,9.68,22,6,161.3,16,22821.92,8307.00,14514.92,9.68,22,8,121.0,10,17728.92,6357.00,11371.92,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
100,NSW,single,14.52,70.0%,10.16,14.52,33,10,145.2,21.78,32428.55,11778.00,20650.55,10.12,23,8,126.5,13.5,21320.53,7605.00,13715.53,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
101,NSW,single,4.4,70.0%,3.08,4.40,10,5,88.0,13.5,16998.85,5772.00,11226.85,4.40,10,5,88.0,9.6,13288.00,4524.00,8764.00,4.40,10,5,88.0,6.5,10338.35,3510.00,6828.35
102,NSW,single,7.04,70.0%,4.93,7.04,16,5,140.8,13.5,18567.01,6630.00,11937.01,7.04,16,5,140.8,9.6,14856.16,5382.00,9474.16,6.60,15,5,132.0,6.5,11645.15,4212.00,7433.15
