State,Postcode,Retailer,PlanType,PlanName,PricingModel,SupplyCharge_c/day,FiT_c/kWh,Distributor
VIC,3000,ENGIE,Single Rate,"VIC -ENGIE Solar elec",SR,106.11,12,"Citipower"
VIC,3000,ENGIE,Time of Use,"VIC ENGIE Home Business Standing elec",TOU,106.11,3.3,"Citipower"
VIC,3000,Energy Locals,Single Rate,"Standing Offer",SR,106.1182,3.3,"Citipower"
VIC,3000,Energy Locals,Time of Use,"Standing Offer",TOU,106.1182,3.3,"Citipower"
VIC,3000,EnergyAustralia,Single Rate,"Balance Plan - Peak Only",SR,106.118,3.3,"Citipower"
VIC,3000,EnergyAustralia,Time of Use,"Solar Max - Time of Use",TOU,106.118,[{'rate': 10, 'volume': 12}, {'rate': 3.3}],"Citipower"
VIC,3000,Flow Power,Single Rate,"Flow Home - Single Rate",SR,58.54,3.3,"Citipower"
VIC,3000,Flow Power,Time of Use,"Flow Home - TOU",TOU,63.54,3.3,"Citipower"
VIC,3000,GloBird Energy,Single Rate,"GloBird  STANDING OFFER Residential (Flat Rate  Without Controlled Load)-Citipower",SR,106.1182,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Citipower"
VIC,3000,GloBird Energy,Time of Use,"GloBird  STANDING OFFER Residential (Two Rate ) Citipower",TOU,106.1182,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Citipower"
VIC,3000,Indigo Power,Single Rate,"Community Energy hub plan",SR,101.9512,4,"Citipower"
VIC,3000,Indigo Power,Time of Use,"Community Energy hub plan",TOU,101.9512,4,"Citipower"
VIC,3000,Kogan Energy,Single Rate,"Kogan Energy Basic",SR,106.1181,3.3,"Citipower"
VIC,3000,Kogan Energy,Time of Use,"Kogan Energy Basic",TOU,106.1181,3.3,"Citipower"
VIC,3000,Lumo Energy,Single Rate,"Victorian Default Offer",SR,106.11,3.3,"Citipower"
VIC,3000,Lumo Energy,Time of Use,"Victorian Default Offer",TOU,106.11,3.3,"Citipower"
VIC,3000,Momentum Energy,Single Rate,"Standing Offer",SR,106.1181,3.3,"Citipower"
VIC,3000,Momentum Energy,Time of Use,"Standing Offer",TOU,106.1181,3.3,"Citipower"
VIC,3000,Nectr,Single Rate,"Nectr 100% Clean - Citipower",SR,106.118182,3.3,"Citipower"
VIC,3000,Nectr,Time of Use,"Nectr 100% Clean Time of Use - Citipower",TOU,106.118182,3.3,"Citipower"
VIC,3000,Next Business Energy Pty Ltd,Single Rate,"Next Assured 5% Discount Citipower Anytime",SR,97.3486,3.3,"Citipower"
VIC,3000,Next Business Energy Pty Ltd,Time of Use,"Next Assured 5% Discount Citipower 5 Day TOU (C3RB)",TOU,95.9478,3.3,"Citipower"
VIC,3000,OVO Energy,Single Rate,"Victorian Default Offer",SR,106.1182,3.3,"Citipower"
VIC,3000,OVO Energy,Time of Use,"Victorian Default Offer",TOU,106.1182,3.3,"Citipower"
VIC,3000,Origin Energy,Single Rate,""Greener for Business" Variable (Single Rate)",SR,105.06,3.3,"Citipower"
VIC,3000,Origin Energy,Time of Use,""Greener for Business" Variable (2 Period TOU)",TOU,105.06,3.3,"Citipower"
VIC,3000,Pacific Blue Retail,Single Rate,"Blue First",SR,99,3.3,"Citipower"
VIC,3000,Pacific Blue Retail,Time of Use,"Blue First",TOU,99,3.3,"Citipower"
VIC,3000,Powershop Australia,Single Rate,"Victorian Default Offer",SR,106.1181,3.3,"Citipower"
VIC,3000,Powershop Australia,Time of Use,"Victorian Default Offer",TOU,106.1181,3.3,"Citipower"
VIC,3000,Red Energy,Single Rate,"Victorian Default Offer",SR,106.11,3.3,"Citipower"
VIC,3000,Red Energy,Time of Use,"Victorian Default Offer",TOU,106.11,3.3,"Citipower"
VIC,3000,Sumo,Single Rate,"Sumo Switch (Single Rate)",SR,60,3.3,"Citipower"
VIC,3000,Sumo,Time of Use,"Sumo Standing Offer (Two Rate)",TOU,106.11,3.3,"Citipower"
VIC,3000,Tango Energy,Single Rate,"Value Select",SR,136,3.3,"Citipower"
VIC,3000,Tango Energy,Time of Use,"Value Select",TOU,116,3.3,"Citipower"
VIC,3121,1st Energy,Single Rate,"1st Saver, Residential - Anytime",SR,106,3.3,"Citipower"
VIC,3121,1st Energy,Time of Use,"1st Saver, Residential - Time of Use",TOU,106,3.3,"Citipower"
VIC,3121,AGL,Single Rate,"Residential Solar Savers",SR,97.62,3.3,"Citipower"
VIC,3121,AGL,Time of Use,"Residential Solar Savers",TOU,97.62,3.3,"Citipower"
VIC,3121,Alinta Energy,Single Rate,"Carbon Balance - Single Rate",SR,98.49,3.3,"Citipower"
VIC,3121,Alinta Energy,Time of Use,"Carbon Balance - Two Period Time of Use",TOU,98.49,3.3,"Citipower"
VIC,3121,Amber Electric,Single Rate,"Amber Plan",SR,45.5295,3.3,"Citipower"
VIC,3121,Arcline by RACV - Energy,Single Rate,"Home Energy Partner Plan",SR,48.1818,4.1,"Citipower"
VIC,3121,Arcline by RACV - Energy,Time of Use,"Home Energy Partner Plan",TOU,50,4.1,"Citipower"
VIC,3121,Blue NRG Pty Ltd,Single Rate,"Blue VDO Single Rate (General Usage)",SR,106.12,3.3,"Citipower"
VIC,3121,Blue NRG Pty Ltd,Time of Use,"Blue VDO TOU",TOU,106.12,3.3,"Citipower"
VIC,3121,CovaU,Single Rate,"Super Saver Residential Singl",SR,84.77,4.9,"Citipower"
VIC,3121,CovaU,Time of Use,"Super Saver Residential TOU",TOU,84.77,4.9,"Citipower"
VIC,3121,Diamond Energy Pty Ltd,Single Rate,"Everyday Renewable Saver",SR,103.03,5.2,"Citipower"
VIC,3121,Diamond Energy Pty Ltd,Time of Use,"Everyday Renewable Saver - T72",TOU,103.02,5.2,"Citipower"
VIC,3121,Dodo Power & Gas,Single Rate,"Residential Market - Single Rate",SR,84.8945,3.3,"Citipower"
VIC,3121,Dodo Power & Gas,Time of Use,"Residential Market - Time of Use",TOU,84.8945,3.3,"Citipower"
VIC,3121,ENGIE,Single Rate,"VIC -ENGIE Solar elec",SR,106.11,12,"Citipower"
VIC,3121,Energy Locals,Single Rate,"Standing Offer",SR,106.1182,3.3,"Citipower"
VIC,3121,Energy Locals,Time of Use,"Standing Offer",TOU,106.1182,3.3,"Citipower"
VIC,3121,EnergyAustralia,Single Rate,"Balance Plan - Peak Only",SR,106.118,3.3,"Citipower"
VIC,3121,EnergyAustralia,Time of Use,"Solar Max - Time of Use",TOU,106.118,[{'rate': 10, 'volume': 12}, {'rate': 3.3}],"Citipower"
VIC,3121,Flow Power,Single Rate,"Flow Home - Single Rate",SR,58.54,3.3,"Citipower"
VIC,3121,Flow Power,Time of Use,"Flow Home - TOU",TOU,63.54,3.3,"Citipower"
VIC,3121,GloBird Energy,Single Rate,"GloBird  STANDING OFFER Residential (Flat Rate  Without Controlled Load)-Citipower",SR,106.1182,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Citipower"
VIC,3121,GloBird Energy,Time of Use,"GloBird  STANDING OFFER Residential (Two Rate ) Citipower",TOU,106.1182,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Citipower"
VIC,3121,Indigo Power,Single Rate,"Community Energy hub plan",SR,101.9512,4,"Citipower"
VIC,3121,Indigo Power,Time of Use,"Community Energy hub plan",TOU,101.9512,4,"Citipower"
VIC,3121,Kogan Energy,Single Rate,"Kogan Energy Basic",SR,106.1181,3.3,"Citipower"
VIC,3121,Kogan Energy,Time of Use,"Kogan Energy Basic",TOU,106.1181,3.3,"Citipower"
VIC,3121,Lumo Energy,Single Rate,"Victorian Default Offer",SR,106.11,3.3,"Citipower"
VIC,3121,Lumo Energy,Time of Use,"Victorian Default Offer",TOU,106.11,3.3,"Citipower"
VIC,3121,Momentum Energy,Single Rate,"Standing Offer",SR,106.1181,3.3,"Citipower"
VIC,3121,Momentum Energy,Time of Use,"Standing Offer",TOU,106.1181,3.3,"Citipower"
VIC,3121,Nectr,Single Rate,"Nectr 100% Clean - Citipower",SR,106.118182,3.3,"Citipower"
VIC,3121,Nectr,Time of Use,"Nectr 100% Clean Time of Use - Citipower",TOU,106.118182,3.3,"Citipower"
VIC,3121,Next Business Energy Pty Ltd,Single Rate,"Next Assured 5% Discount Citipower Anytime",SR,97.3486,3.3,"Citipower"
VIC,3121,Next Business Energy Pty Ltd,Time of Use,"Next Assured 5% Discount Citipower 5 Day TOU (C3RB)",TOU,95.9478,3.3,"Citipower"
VIC,3121,OVO Energy,Single Rate,"Victorian Default Offer",SR,106.1182,3.3,"Citipower"
VIC,3121,OVO Energy,Time of Use,"Victorian Default Offer",TOU,106.1182,3.3,"Citipower"
VIC,3121,Origin Energy,Single Rate,""Greener for Business" Variable (Single Rate)",SR,105.06,3.3,"Citipower"
VIC,3121,Origin Energy,Time of Use,""Greener for Business" Variable (2 Period TOU)",TOU,105.06,3.3,"Citipower"
VIC,3121,Pacific Blue Retail,Single Rate,"Blue First",SR,99,3.3,"Citipower"
VIC,3121,Pacific Blue Retail,Time of Use,"Blue First",TOU,99,3.3,"Citipower"
VIC,3121,Powershop Australia,Single Rate,"Victorian Default Offer",SR,106.1181,3.3,"Citipower"
VIC,3121,Powershop Australia,Time of Use,"Victorian Default Offer",TOU,106.1181,3.3,"Citipower"
VIC,3121,Red Energy,Single Rate,"Victorian Default Offer",SR,106.11,3.3,"Citipower"
VIC,3121,Red Energy,Time of Use,"Victorian Default Offer",TOU,106.11,3.3,"Citipower"
VIC,3121,Sumo,Single Rate,"Sumo Switch (Single Rate)",SR,60,3.3,"Citipower"
VIC,3121,Sumo,Time of Use,"Sumo Standing Offer (Two Rate)",TOU,106.11,3.3,"Citipower"
VIC,3121,Tango Energy,Single Rate,"Value Select",SR,136,3.3,"Citipower"
VIC,3121,Tango Energy,Time of Use,"Value Select",TOU,116,3.3,"Citipower"
VIC,3150,1st Energy,Single Rate,"1st Saver, Residential - Anytime",SR,99,3.3,"United Energy"
VIC,3150,1st Energy,Time of Use,"1st Saver, Residential - Time of Use",TOU,99,3.3,"United Energy"
VIC,3150,AGL,Single Rate,"Residential Solar Savers",SR,91.62,3.3,"United Energy"
VIC,3150,AGL,Time of Use,"Residential Solar Savers",TOU,91.62,3.3,"United Energy"
VIC,3150,Alinta Energy,Single Rate,"Carbon Balance - Single Rate",SR,92.41,3.3,"United Energy"
VIC,3150,Alinta Energy,Time of Use,"Carbon Balance - Two Period Time of Use",TOU,92.41,3.3,"United Energy"
VIC,3150,Amber Electric,Single Rate,"Amber Plan",SR,39.5859,3.3,"United Energy"
VIC,3150,Arcline by RACV - Energy,Single Rate,"Home Energy Partner Plan",SR,55.4545,4.1,"United Energy"
VIC,3150,Arcline by RACV - Energy,Time of Use,"Home Energy Partner Plan",TOU,56.3636,4.1,"United Energy"
VIC,3150,Blue NRG Pty Ltd,Single Rate,"Blue VDO Single Rate (General Usage)",SR,99.59,3.3,"United Energy"
VIC,3150,Blue NRG Pty Ltd,Time of Use,"Blue VDO TOU",TOU,99.59,3.3,"United Energy"
VIC,3150,CovaU,Single Rate,"Super Saver Residential Single",SR,79.66,4.9,"United Energy"
VIC,3150,CovaU,Time of Use,"Super Saver Residential TOU",TOU,79.66,4.9,"United Energy"
VIC,3150,Diamond Energy Pty Ltd,Single Rate,"Everyday Renewable Saver",SR,96.69,5.2,"United Energy"
VIC,3150,Diamond Energy Pty Ltd,Time of Use,"Everyday Renewable Saver - T72",TOU,96.69,5.2,"United Energy"
VIC,3150,Dodo Power & Gas,Single Rate,"Residential Market - Single Rate",SR,92.6195,3.3,"United Energy"
VIC,3150,Dodo Power & Gas,Time of Use,"Residential Market - Time of Use",TOU,92.6195,3.3,"United Energy"
VIC,3150,ENGIE,Time of Use,"VIC ENGIE Home Business Standing elec",TOU,99.59,3.3,"United Energy"
VIC,3150,Energy Locals,Single Rate,"Standing Offer",SR,99.5909,3.3,"United Energy"
VIC,3150,Energy Locals,Time of Use,"Standing Offer",TOU,99.5909,3.3,"United Energy"
VIC,3150,EnergyAustralia,Single Rate,"Balance Plan - Peak Only",SR,99.59,3.3,"United Energy"
VIC,3150,EnergyAustralia,Time of Use,"Solar Max - Time of Use",TOU,99.59,[{'rate': 10, 'volume': 12}, {'rate': 3.3}],"United Energy"
VIC,3150,Flow Power,Single Rate,"Flow Home - Single Rate",SR,63.54,3.3,"United Energy"
VIC,3150,Flow Power,Time of Use,"Flow Home - TOU",TOU,67.54,3.3,"United Energy"
VIC,3150,GloBird Energy,Single Rate,"GloBird  STANDING OFFER Residential (Flat Rate Without Controlled Load)-United Energy",SR,99.5909,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"United Energy"
VIC,3150,GloBird Energy,Time of Use,"GloBird  STANDING OFFER Residential (Two Rate) United Energy",TOU,99.5909,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"United Energy"
VIC,3150,Indigo Power,Single Rate,"Community Energy hub plan",SR,95.6467,4,"United Energy"
VIC,3150,Indigo Power,Time of Use,"Community Energy hub plan",TOU,95.6467,4,"United Energy"
VIC,3150,Kogan Energy,Single Rate,"Kogan Energy Basic",SR,99.5909,3.3,"United Energy"
VIC,3150,Kogan Energy,Time of Use,"Kogan Energy Basic",TOU,99.5909,3.3,"United Energy"
VIC,3150,Lumo Energy,Single Rate,"Victorian Default Offer",SR,99.59,3.3,"United Energy"
VIC,3150,Lumo Energy,Time of Use,"Victorian Default Offer",TOU,99.59,3.3,"United Energy"
VIC,3150,Momentum Energy,Single Rate,"Standing Offer",SR,99.5909,3.3,"United Energy"
VIC,3150,Momentum Energy,Time of Use,"Standing Offer",TOU,99.5909,3.3,"United Energy"
VIC,3150,Nectr,Single Rate,"Nectr 100% Clean - United Energy",SR,99.590909,3.3,"United Energy"
VIC,3150,Nectr,Time of Use,"Nectr 100% Clean Time of Use - United Energy",TOU,99.590909,3.3,"United Energy"
VIC,3150,Next Business Energy Pty Ltd,Single Rate,"Next Assured 5% Discount United Energy Anytime",SR,87.4718,3.3,"United Energy"
VIC,3150,Next Business Energy Pty Ltd,Time of Use,"Next Assured 5% Discount United Energy 7 Day TOU",TOU,87.4718,3.3,"United Energy"
VIC,3150,OVO Energy,Single Rate,"Victorian Default Offer",SR,99.5909,3.3,"United Energy"
VIC,3150,OVO Energy,Time of Use,"Victorian Default Offer",TOU,99.5909,3.3,"United Energy"
VIC,3150,Origin Energy,Single Rate,""Greener for Business" Variable (Single Rate)",SR,98.59,3.3,"United Energy"
VIC,3150,Origin Energy,Time of Use,""Greener for Business" Variable (2 Period TOU)",TOU,98.59,3.3,"United Energy"
VIC,3150,Pacific Blue Retail,Single Rate,"Blue First",SR,86,3.3,"United Energy"
VIC,3150,Pacific Blue Retail,Time of Use,"Blue First",TOU,86,3.3,"United Energy"
VIC,3150,Powershop Australia,Single Rate,"Victorian Default Offer",SR,99.5909,3.3,"United Energy"
VIC,3150,Powershop Australia,Time of Use,"Victorian Default Offer",TOU,99.5909,3.3,"United Energy"
VIC,3150,Red Energy,Single Rate,"Victorian Default Offer",SR,99.59,3.3,"United Energy"
VIC,3150,Red Energy,Time of Use,"Victorian Default Offer",TOU,99.59,3.3,"United Energy"
VIC,3150,Sumo,Single Rate,"Sumo Switch (Single Rate)",SR,60,3.3,"United Energy"
VIC,3150,Sumo,Time of Use,"Sumo Standing Offer (Two Rate)",TOU,99.59,3.3,"United Energy"
VIC,3150,Tango Energy,Single Rate,"Value Select",SR,131,3.3,"United Energy"
VIC,3150,Tango Energy,Time of Use,"Value Select",TOU,114.5,3.3,"United Energy"
VIC,3350,1st Energy,Time of Use,"1st Saver, Residential - Time of Use",TOU,119,3.3,"Powercor"
VIC,3350,AGL,Single Rate,"Residential Solar Savers",SR,110.09,3.3,"Powercor"
VIC,3350,AGL,Time of Use,"Residential Solar Savers",TOU,110.09,3.3,"Powercor"
VIC,3350,Alinta Energy,Single Rate,"Carbon Balance - Single Rate",SR,111.11,3.3,"Powercor"
VIC,3350,Alinta Energy,Time of Use,"Carbon Balance - Two Period Time of Use",TOU,111.11,3.3,"Powercor"
VIC,3350,Amber Electric,Single Rate,"Amber Plan",SR,58.4391,3.3,"Powercor"
VIC,3350,Arcline by RACV - Energy,Single Rate,"Home Energy Partner Plan",SR,79.0909,4.1,"Powercor"
VIC,3350,Arcline by RACV - Energy,Time of Use,"Home Energy Partner Plan",TOU,80,4.1,"Powercor"
VIC,3350,Blue NRG Pty Ltd,Single Rate,"Blue VDO Single Rate (General Usage)",SR,119.66,3.3,"Powercor"
VIC,3350,Blue NRG Pty Ltd,Time of Use,"Blue VDO TOU",TOU,119.66,3.3,"Powercor"
VIC,3350,CovaU,Single Rate,"Super Saver Residential Single",SR,95.36,4.9,"Powercor"
VIC,3350,CovaU,Time of Use,"Super Saver Residential TOU",TOU,95.36,4.9,"Powercor"
VIC,3350,Diamond Energy Pty Ltd,Single Rate,"Everyday Renewable Saver",SR,116.17,5.2,"Powercor"
VIC,3350,Diamond Energy Pty Ltd,Time of Use,"Everyday Renewable Saver - T72",TOU,116.17,5.2,"Powercor"
VIC,3350,Dodo Power & Gas,Single Rate,"Residential Market - Single Rate",SR,113.6804,3.3,"Powercor"
VIC,3350,Dodo Power & Gas,Time of Use,"Residential Market - Time of Use",TOU,113.6804,3.3,"Powercor"
VIC,3350,ENGIE,Single Rate,"VIC -ENGIE Solar elec",SR,119.66,12,"Powercor"
VIC,3350,ENGIE,Time of Use,"VIC ENGIE Home Business Standing elec",TOU,119.66,3.3,"Powercor"
VIC,3350,Energy Locals,Single Rate,"Standing Offer",SR,119.6636,3.3,"Powercor"
VIC,3350,Energy Locals,Time of Use,"Standing Offer",TOU,119.6636,3.3,"Powercor"
VIC,3350,EnergyAustralia,Single Rate,"Balance Plan - Peak Only",SR,119.663,3.3,"Powercor"
VIC,3350,EnergyAustralia,Time of Use,"Solar Max - Time of Use",TOU,119.663,[{'rate': 10, 'volume': 12}, {'rate': 3.3}],"Powercor"
VIC,3350,Flow Power,Single Rate,"Flow Home - Single Rate",SR,82.25,3.3,"Powercor"
VIC,3350,Flow Power,Time of Use,"Flow Home - TOU",TOU,88.25,3.3,"Powercor"
VIC,3350,GloBird Energy,Single Rate,"GloBird  STANDING OFFER Residential (Flat Rate Without Controlled Load)-Powercor",SR,119.6636,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Powercor"
VIC,3350,GloBird Energy,Time of Use,"GloBird  STANDING OFFER Residential (Two Rate) Powercor",TOU,119.6636,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Powercor"
VIC,3350,Indigo Power,Single Rate,"Community Energy hub plan",SR,129.0328,4,"Powercor"
VIC,3350,Indigo Power,Time of Use,"Community Energy hub plan",TOU,129.0328,4,"Powercor"
VIC,3350,Kogan Energy,Single Rate,"Kogan Energy Basic",SR,119.6636,3.3,"Powercor"
VIC,3350,Kogan Energy,Time of Use,"Kogan Energy Basic",TOU,119.6636,3.3,"Powercor"
VIC,3350,Lumo Energy,Single Rate,"Victorian Default Offer",SR,119.66,3.3,"Powercor"
VIC,3350,Lumo Energy,Time of Use,"Victorian Default Offer",TOU,119.66,3.3,"Powercor"
VIC,3350,Momentum Energy,Single Rate,"Standing Offer",SR,119.6636,3.3,"Powercor"
VIC,3350,Momentum Energy,Time of Use,"Standing Offer",TOU,119.6636,3.3,"Powercor"
VIC,3350,Nectr,Single Rate,"Nectr 100% Clean - Powercor",SR,119.663636,3.3,"Powercor"
VIC,3350,Nectr,Time of Use,"Nectr 100% Clean Time of Use - Powercor",TOU,119.663636,3.3,"Powercor"
VIC,3350,Next Business Energy Pty Ltd,Single Rate,"Next Assured 5% Discount Powercor Anytime",SR,111.4699,3.3,"Powercor"
VIC,3350,Next Business Energy Pty Ltd,Time of Use,"Next Assured 5% Discount Powercor 7 Day TOU",TOU,111.4699,3.3,"Powercor"
VIC,3350,OVO Energy,Single Rate,"Victorian Default Offer",SR,119.6636,3.3,"Powercor"
VIC,3350,OVO Energy,Time of Use,"Victorian Default Offer",TOU,119.6636,3.3,"Powercor"
VIC,3350,Origin Energy,Single Rate,""Greener for Business" Variable (Single Rate)",SR,118.47,3.3,"Powercor"
VIC,3350,Origin Energy,Time of Use,""Greener for Business" Variable (2 Period TOU)",TOU,118.47,3.3,"Powercor"
VIC,3350,Pacific Blue Retail,Single Rate,"Blue First",SR,94,3.3,"Powercor"
VIC,3350,Pacific Blue Retail,Time of Use,"Blue First",TOU,94,3.3,"Powercor"
VIC,3350,Powershop Australia,Single Rate,"Victorian Default Offer",SR,119.6636,3.3,"Powercor"
VIC,3350,Powershop Australia,Time of Use,"Victorian Default Offer",TOU,119.6636,3.3,"Powercor"
VIC,3350,Red Energy,Single Rate,"Victorian Default Offer",SR,119.66,3.3,"Powercor"
VIC,3350,Red Energy,Time of Use,"Victorian Default Offer",TOU,119.66,3.3,"Powercor"
VIC,3350,Sumo,Single Rate,"Sumo Switch (Single Rate)",SR,80,3.3,"Powercor"
VIC,3350,Sumo,Time of Use,"Sumo Standing Offer (Two Rate)",TOU,119.66,3.3,"Powercor"
VIC,3350,Tango Energy,Single Rate,"Value Select",SR,146,3.3,"Powercor"
VIC,3350,Tango Energy,Time of Use,"Value Select",TOU,127,3.3,"Powercor"
VIC,3550,1st Energy,Single Rate,"1st Saver, Residential - Anytime",SR,119,3.3,"Powercor"
VIC,3550,1st Energy,Time of Use,"1st Saver, Residential - Time of Use",TOU,119,3.3,"Powercor"
VIC,3550,AGL,Single Rate,"Residential Solar Savers",SR,110.09,3.3,"Powercor"
VIC,3550,AGL,Time of Use,"Residential Solar Savers",TOU,110.09,3.3,"Powercor"
VIC,3550,Alinta Energy,Single Rate,"Carbon Balance - Single Rate",SR,111.11,3.3,"Powercor"
VIC,3550,Alinta Energy,Time of Use,"Carbon Balance - Two Period Time of Use",TOU,111.11,3.3,"Powercor"
VIC,3550,Amber Electric,Single Rate,"Amber Plan",SR,58.4391,3.3,"Powercor"
VIC,3550,Arcline by RACV - Energy,Single Rate,"Home Energy Partner Plan",SR,79.0909,4.1,"Powercor"
VIC,3550,Arcline by RACV - Energy,Time of Use,"Home Energy Partner Plan",TOU,80,4.1,"Powercor"
VIC,3550,Blue NRG Pty Ltd,Single Rate,"Blue VDO Single Rate (General Usage)",SR,119.66,3.3,"Powercor"
VIC,3550,Blue NRG Pty Ltd,Time of Use,"Blue VDO TOU",TOU,119.66,3.3,"Powercor"
VIC,3550,CovaU,Single Rate,"Super Saver Residential Single",SR,95.36,4.9,"Powercor"
VIC,3550,CovaU,Time of Use,"Super Saver Residential TOU",TOU,95.36,4.9,"Powercor"
VIC,3550,Diamond Energy Pty Ltd,Single Rate,"Everyday Renewable Saver",SR,116.17,5.2,"Powercor"
VIC,3550,Diamond Energy Pty Ltd,Time of Use,"Everyday Renewable Saver - T72",TOU,116.17,5.2,"Powercor"
VIC,3550,Dodo Power & Gas,Single Rate,"Residential Market - Single Rate",SR,113.6804,3.3,"Powercor"
VIC,3550,Dodo Power & Gas,Time of Use,"Residential Market - Time of Use",TOU,113.6804,3.3,"Powercor"
VIC,3550,ENGIE,Single Rate,"VIC -ENGIE Solar elec",SR,119.66,12,"Powercor"
VIC,3550,ENGIE,Time of Use,"VIC ENGIE Home Business Standing elec",TOU,119.66,3.3,"Powercor"
VIC,3550,Energy Locals,Single Rate,"Standing Offer",SR,119.6636,3.3,"Powercor"
VIC,3550,Energy Locals,Time of Use,"Standing Offer",TOU,119.6636,3.3,"Powercor"
VIC,3550,EnergyAustralia,Single Rate,"Balance Plan - Peak Only",SR,119.663,3.3,"Powercor"
VIC,3550,EnergyAustralia,Time of Use,"Solar Max - Time of Use",TOU,119.663,[{'rate': 10, 'volume': 12}, {'rate': 3.3}],"Powercor"
VIC,3550,Flow Power,Single Rate,"Flow Home - Single Rate",SR,82.25,3.3,"Powercor"
VIC,3550,Flow Power,Time of Use,"Flow Home - TOU",TOU,88.25,3.3,"Powercor"
VIC,3550,GloBird Energy,Single Rate,"GloBird  STANDING OFFER Residential (Flat Rate Without Controlled Load)-Powercor",SR,119.6636,[{'rate': 2.1, 'endTime': 1359, 'startTime': 1000}, {'rate': 4.1, 'endTime': 1559, 'startTime': 1400}, {'rate': 8.4, 'endTime': 2059, 'startTime': 1600}, {'rate': 4.1, 'endTime': 959, 'startTime': 2100}],"Powercor"
